"OrganismCode","IEPFishCode","CommonName","NonNative","Phylum","Class","Order","Family","Genus","Species","Active"
"AAURIT",NA,"moon jelly","no","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","aurita","1"
"ACL",NA,"Asian clam","yes","Mollusca","Bivalvia","Myodia","Sphaeriidae","Potamocorbula","amurensis","0"
"ALABIA",NA,"Aurelia labiata","no","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","labiata","1"
"AME","AMEEEL","American eel","yes","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","rostrata","0"
"AMS","AMESHA","American shad","yes","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","sapidissima","1"
"ARG","ARRGOB","arrow goby","no","Chordata","Actinopterygii","Perciformes","Gobiidae","Clevelandia","ios","1"
"BAS","UNIMIC","bass unknown",NA,"Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus",NA,"1"
"BFK","BLUKILL","Bluefin Killifish","yes","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae","Lucania","goodei","1"
"BG","BAYGOB","bay goby","no","Chordata","Actinopterygii","Perciformes","Gobiidae","Lepidogobius","lepidus","1"
"BGS","BLUEGI","bluegill","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis","macrochirus","1"
"BKB","BLABUL","black bullhead","yes","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","melas","1"
"BKS","BLACRA","black crappie","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Pomoxis","nigromaculatus","1"
"BLC","BLUCAT","blue catfish","yes","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus","furcatus","1"
"BMS","BMOSOL","bigmouth sole","yes","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina","stomata","1"
"BPF","BAYPIP","bay pipefish","no","Chordata","Actinopterygii","Gasterosteiformes","Syngnathidae","Syngnathus","leptorhynchus","1"
"BRB","BROBUL","brown bullhead","yes","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus","nebulosus","1"
"BRF","BROROC","Brown Rockfish",NA,"Chordata","Osteichthyes","Scorpaeniformes","Scorpaenidae","Sebastes","auriculatus","1"
"BRFK","BLUKILL","Bluefin Killifish",NA,NA,NA,NA,NA,NA,NA,"0"
"BRY","BATRAY","bat ray","no","Chordata","Chondrichthyes","Rajiformes","Mobulidae","Myliobatis","californica","1"
"BSFP","BLAPER","black perch",NA,"Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","1"
"BSK","BIGSKA","big skate","no","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","binoculata","0"
"BSM","BROSMO","brown smoothhound","no","Chordata","Chondrichthyes","Lamniformes","Carcharhinidae","Mustelus","henlei","0"
"BSP","BARSUR","barred surfperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","1"
"BT","BRNTRT","brown trout","yes","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","trutta","0"
"BUT","BUTSOL","butter sole","no","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta","isolepis","1"
"BVIRGI",NA,"Blackfordia virginica","yes","Cnidaria","Hydrozoa","Thecatae","Blackfordiidae","Blackfordia","virginica","1"
"C","COMCAR","common carp","yes","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus","carpio","1"
"CAH","CALHAL","California halibut","no","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Paralichthys","californicus","1"
"CAR","CALROA","California roach","no","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Hesperoleucus","symmetricus","0"
"CAT","UNIICT","catfish unknown",NA,"Chordata","Actinopterygii","Siluriformes","Ictaluridae",NA,NA,"0"
"CBZ","CABEZO","cabezon","no","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","1"
"CCAPIL",NA,"lions mane","no","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","capillata","1"
"CFUSCE",NA,"Chrysaora fuscescens","no","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","fuscescens","1"
"CHC","CHACAT","channel catfish","yes","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus","punctatus","1"
"CHG","CHAGOB","chameleon goby","yes","Chordata","Actinopterygii","Perciformes","Gobiidae","Tridentiger","trigonocephalus","1"
"CHN","CHISAL","Chinook salmon","no","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","1"
"CHO","COHSAL","coho salmon","no","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","kisutch","0"
"CMC",NA,"Chinese mitten crab","yes","Arthropoda","Malacostraca","Decapoda","Varunidae","Eriocheir","sinensis","1"
"Cnidaria",NA,"Cnidarian unknown",NA,"Cnidaria",NA,NA,NA,NA,NA,"1"
"CPY","UNIPOM","crappie unknown","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Pomoxis",NA,"0"
"CRKF","CREKEL","crevice kelpfish","no","Chordata","Actinopterygii","Perciformes","Clinidae","Gibbonsia","montereyensis","1"
"CSG","CHEGOB","cheekspot goby","no","Chordata","Actinopterygii","Perciformes","Gobiidae","Llypnus","gilberti","1"
"CSN","UNICEN","Sunfish unknown",NA,"Chordata","Actinopterygii","Perciformes","Centrarchidae",NA,NA,"0"
"CSP","CALSUR","calico surfperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","koelzi","1"
"Cspp",NA,"Crangon Spp.",NA,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon",NA,"1"
"CTF","CALTON","California Tonguefish","no","Chordata","Actinopterygii","Pleuronectiformes","Cynoglossidae","Symphurus","atricauda","1"
"CTU","UNICEN","Centrarchid unknown",NA,"Chordata","Actinopterygii","Perciformes","Centrarchidae",NA,NA,"1"
"DACE","SPEDAC","speckled dace","no","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Rhinichthys","osculus","1"
"DMT","DIATUR","diamond turbot","no","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","guttulatus","1"
"DSH",NA,"Dock Shrimp",NA,"Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","danae","1"
"DSM","DELSME","Delta smelt","no","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Hypomesus","transpacificus","1"
"DSP","DWAPER","dwarf surfperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","minimus","1"
"EEL","UNIANG","eel unknown",NA,"Chordata","Actinopterygii","Anguilliformes",NA,NA,NA,"0"
"ELS","ENGSOL","English sole","no","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys","vetulus","1"
"EXP",NA,"Siberian prawn","yes","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Exopalaemon","modestus","1"
"FHM","FATMIN","fathead minnow","yes","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Pimephales","promelas","1"
"FLF","UNIPLE","flatfish unknown",NA,"Chordata","Actinopterygii","Pleuronectiformes",NA,NA,NA,"0"
"FWH",NA,"freshwater hydroid","yes","Cnidaria","Hydrozoa","Athecatae","Clavidae","Cordylophora","caspia","0"
"GBY","UNIGOB","goby unknown",NA,"Chordata","Actinopterygii","Perciformes","Gobiidae",NA,NA,"0"
"GF","GOLDFI","goldfish","yes","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Carassius","auratus","1"
"GKF","GIAKEL","giant kelpfish","no","Chordata","Actinopterygii","Perciformes","Clinidae","Heterostichus","rostratus","0"
"GRF",NA,"Gopher Rockfish","no","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","carnatus","1"
"GSF","GRESUN","green sunfish","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis","cyanellus","1"
"GSM","GRASMO","grey smoothhound","no","Chordata","Chondrichthyes","Lamniformes","Carcharhinidae","Mustelus","californicus","0"
"GSN","GOLDSHI","golden shiner","yes","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Notemigonus","crysoleucas","1"
"GST","GRESTU","green sturgeon","no","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","medirostris","1"
"HCH","HITCH","hitch","no","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Lavinia","exilicauda","1"
"HER","UNICLU","herring unknown",NA,"Chordata","Actinopterygii","Clupeiformes","Clupeidae",NA,NA,"0"
"HH","HARDHE","hardhead","no","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Mylopharodon","conocephalus","1"
"Hspp",NA,"Heptacarpus Spp.",NA,"Arthropoda","Malacostraca","Decapoda","Hippolytidae","Heptacarpus",NA,"1"
"JSM","JACKSM","jacksmelt","no","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis","californiensis","1"
"KOS","KOKANE","kokanee salmon","yes","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","nerka","0"
"KSP","KELPER","kelp perch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","0"
"LAM","UNILAM","lamprey unknown",NA,"Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra",NA,"1"
"LFS","LONSME","longfin smelt","no","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Spirinchus","thaleichthys","1"
"LIC","LINGCO","lingcod","no","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","0"
"LMB","LARBAS","largemouth bass","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus","salmoides","1"
